scientific_name
---.AUSENTE DA LISTA.---
---ABSENTE DE LA LISTE---
---INCONNUE---
---NOT IN LIST----
---NOT KNOWN---
- Absent in list -
- Not known -
"""Not known"""
?
__Absent de la liste
88
Abarema clypearia f. clypearia
Abarema scutifera
Abies religiosa
Abies semenovich
Abroma augusta
Abrus precatoruis
Acacia
Acacia acanthophylla
Acacia albida
Acacia angustissima
Acacia arabica
Acacia auriculiformis
Acacia callensis
Acacia catechu
Acacia centralis
Acacia collinsi
Acacia collinsii
Acacia confusa
Acacia deamii
Acacia dolichostachya
Acacia farnesiana
Acacia glomerosa
Acacia hindsii
Acacia hockii
Acacia macrothyrsa
Acacia mangium
Acacia mangium (Willd).
Acacia mellifera
Acacia nigrescens
Acacia nilotica
Acacia pennatula
Acacia polyacantha
Acacia ruddiae
Acacia seyal
Acacia sieberana
Acacia sieberiana
Acacia sp
Acacia sp.
Acacia tortilis
Acacia welwitschii
Acalypha amentacea
Acalypha caturus
Acalypha indica
Acalypha lancetillae
Acanthus illicifolius
Accacia mimosa/albida/farnesiana
Acer monspessulanum var. hermoneum
Acer syriaca
Acer tauricolum
Acer turkestanica
Achatocarpus nigricans
Acmena acuminatissima
Acnistus arbore
Acosmium paname
Acosmium panamense
Acrocomia acule
Acrocomia mexicana
Acrocomia vinífera
Actinodaphne dolichophylla
Actinophlous macarthurii
Adansonia digitata
Adelia barbinervis
Adelia triloba
Adenanthera intermedia
Adenia sp.
Adenium obesum
Adina cordifolia
Adina sessilifolia
Aegiceras corniculatum
Aegle marmelos
Aerva lanata
Aeschynanthus nervosus
Aeschynomene aspera
Afrormosia laxiflora
Afrormosia sp.
Afrostyrax kamerunensis
Afrostyrax lepidophyllus
Afrostyrax sp.
Afzelia
Afzelia africana
Afzelia bipindensis
Afzelia pachyloba
Afzelia quanzensis
Afzelia rhomboidea
Afzelia sp.
Agathis philippinensis
Agauria salicifolia
Aglaia apoana
Aglaia banahaensis
Aglaia cumingiana
Aglaia diffusa
Aglaia edulis
Aglaia elaeagnoidea
Aglaia elliptica
Aglaia laevigata
Aglaia llanosiana
Aglaia luzoniensis
Aglaia oligophylla
Aglaia pachyphylla
Aglaonema spp
Agonandra macro
Ailanthus triphysa
Alangium javanicum var jaheri
Albezia saponaria
Albizia
Albizia acle
Albizia adianthifolia
Albizia adinocephala
Albizia antune siana
Albizia antunesiana
Albizia caribaea
Albizia chinensis
Albizia coriaria
Albizia ferruginea
Albizia glaberrima
Albizia glabrescens
Albizia guachapale
Albizia guachepele
Albizia harveyi
Albizia laurentii
Albizia lebbeck
Albizia lebbekoides
Albizia odoratissimus
Albizia procera
Albizia retusa
Albizia richardiana
Albizia saponaria
Albizia sp.
Albizia versicolor
Albizia zygia
Alcalypha diversifolia
Alchornea cordifolia
Alchornea costa
Alchornea latifolia
Alchornea rugosa
Alectryon excisus
Aleurites moluccana
Alibertia edulis
Allaeanthus luzonicus
Allanblackia
Allanblackia floribunda
Allanblackia gabonensis
Allanblackia kisonghi
Allophyllus africanus
Allophyllus grossendentatus
Allophyllus occidentalis
Allophylus
Allophylus occi
Alnus acuminata
Alnus arguta
Alnus firmifolia
Alnus jorullensis
Alnus orientalis
Alnus sp.
Aloum
Alphitonia philippinensis
Alpinia nigra
Alseis yucatanensis
Alstonia
Alstonia boonei
Alstonia congensis
Alstonia macrophylla
Alstonia macrophylla v. mollis
Alstonia macropyhlla
Alstonia paucinervia
Alstonia scholaris
Alvaradoa amorphoides
Alyxia luzoniensis
Amaioua carimbosa
Amaioua corymbosa
Amanoa guianensis
Amaranthus spinosus
Amaranthus tricolor
Amblica sp.
Amblygonocarpus andongensis
Amomum aromaticum
Amoora cucullata
Amoora wallichii
Ampelocera hottlei
Ampelocera sp01.
Amphimas ferrugineus
Amphimas pterocarpoides
Amphipterygium adstringens
Amygdalus communis
Amyris barbata
Amyris sp01.
Amyris sylvatica
