scientific_name
Hylodendron gabunense
Acacia hindsii
Castanopsis indica
Conocarpus erecta
Alchornea costa
Dialium zenkeri
Geothalsia meiantha
Pinus tenuifolia
Baccharis vaccinioides
Syzygium tula
Aningeria robusta
Majidea fosteri
Pentaclethra ma
Sclerocarya caffra
Celtis africana
Rapanea apoensis
Diospyros philippinensis
Manilkara achras
Psoralea corylifolia
Cyphomandra har
Zanthoxylum rhetsa
Tessmannia anomala
Paramacrolobium coeruleum
Sambucus mexicana
Gliricidia guatemalensis
Ziziphus jujuba
- Absent in list -
Fraxinus sogdiana
Artocarpus heterophylla
Croton heterocarpus
Olax obtusifolia
Crataeva tapia
Abarema clypearia f. clypearia
Desbordesia glaucescens
Hopea foxworthyi
Poga
Bambusa tulda
Ilex guianensis
Jossinia aherniana
Dalbergia tucurensis
Tetragastris panamensis (Engler) O. Kze.
Clusia sp01.
Combretum molle
Lacistema aggregatum
Ficus balete
Amoora cucullata
Myriostachya wightiana
Tarenna stenantha
Monopetalanthus letestui
Bambusa blumeana
Pachyelasma tessmannii
Angylocalyx pynaertii
Palaquium philippinense
Monopetalanthus richardsiae
Canthium arnoldianum
Allophyllus africanus
Styrax benzoin
Dialium pachyphyllum
Afrormosia sp.
Ardisia saligna
Tapirira gulanensis
Terminalia sp.
Derris indica
Afzelia bipindensis
Neohouzeau dulloa
Erythrina senegalensis
Entada phaseoloides
"Theobroma cacao
Theobroma cacao"
Maranthes
Terminalia brachystemma
Buddleia skutchii
Sterculia foetida
Aegle marmelos
Quercus sp01.
Anthurium sp01
Geniostoma rupestre
Acalypha amentacea
Parethesis sp.
Urera caracassana
Cornutia lilacina var.velutina
Cordia dodecandra
Persea sp01.
Topobea standleyi
Croton xalapensis
Averrhoa carambola
Goniothalamus lancifolius
Nectandra membranaceae
Myrica javanica
Trichilia hirta
Millettia sanagana
Mildbraediodendron
Drypetes gossweileri
Commiphora sp.
Anthostema
Unonopsis pittieri
Acacia sp.
Diospyros peregrina
Donella pruniformis
Hypodaphnis zenkeri
Acacia
