code,scientific_name
1,Anagyris foetida
2,Alnus glutinosa
3,Betula pendula
4,Salix alba
5,Acacia gummifera
6,Acacia raddiana
7,Cedrus atlantica
8,Pinus halepensis
9,Abies maroccana
10,Quercus coccifera
11,Quercus rotundifolia
12,Quercus suber
13,Quercus faginea
14,Quercus pyrenaica
15,Phoenix dactylifera
16,Maerua crassifolia
17,Laurus nobilis
18,Ilex aquifolium
19,Fraxinus oxyphylla
20,Phillyrea latifolia
21,Phillyrea angustifolia
22,Ficus carica
23,Eucalyptus occidentalis
24,Eucalyptus salmonophloia
25,Eucalyptus sideroxylon
26,Eucalyptus torquata
27,Eucalyptus woodwardi
28,Eucalyptus camaldulensis
29,Eucalyptus brockwayi
30,Eucalyptus astringens
31,Eucalyptus cladocalyx
32,Eucalyptus diversicolor
33,Eucalyptus gomphocephala
34,Eucalyptus maideni
35,Eucalyptus grandis
36,Cupressus atlantica
37,Juniperus thurifera
38,Juniperus oxycedrus
39,Juniperus phoenicea
40,Tetraclinis articulata
41,Crataegus monogyna
42,Pirus mamorensis
43,Prunus lusitanica
44,Ceratonia siliqua
45,Celtis australis
46,Argania spinosa
47,Taxus baccata
48,Tamarix aphylla
49,Pistacia lentiscus
50,Pistacia atlantica
51,Arbutus unedo
52,Pinus pinaster var. iberica
53,Pinus pinaster var. maghrebiana
54,Pinus nigra var. mauretanica
55,Olea europea var. oleaster
56,Eucalyptus globulus subsp. globulus
57,Dracaena draco subsp. ajgal
