ID,Submitted_Name,Order,Family,Genus,Species,Infrasp,Infraspecies,Authors,Status,LCVP_Accepted_Taxon,PL_Comparison,PL_Alternative,Score,Insertion,Deletion,Substitution
1,Abarema clypearia f. clypearia,Fabales,Fabaceae,Abarema,clypearia,species, ,(Jack) Kosterm.,synonym,Archidendron clypearia (Jack) I.C.Nielsen,identical,,Infrasp. name not found,0,0,0
1,Abarema clypearia f. clypearia,Fabales,Fabaceae,Abarema,clypearia,subsp.,velutina,(Merr. & L.M.Perry) Verdc.,synonym,Archidendron clypearia (Jack) I.C.Nielsen,identical,,Infrasp. name not found,0,0,0
1,Abarema clypearia f. clypearia,Fabales,Fabaceae,Abarema,clypearia,var.,angulata,(Benth.) Kosterm.,synonym,Archidendron clypearia (Jack) I.C.Nielsen,identical,,Infrasp. name not found,0,0,0
2,Abarema scutifera,Fabales,Fabaceae,Abarema,scutifera,species, ,(Blanco) Kosterm.,synonym,Archidendron scutiferum (Blanco) I.C.Nielsen,identical,,matched,0,0,0
3,Abies religiosa,Pinales,Pinaceae,Abies,religiosa,species, ,(Kunth) Cham. & Schltdl.,accepted,Abies religiosa (Kunth) Cham. & Schltdl.,identical,,matched,0,0,0
4,Abies semenovich,Pinales,Pinaceae,Abies,semenovii,species, ,B.Fedtsch.,synonym,Abies sibirica Ledeb.,identical,,misspelling: Epithet,1,0,1
5,Abroma augusta,Malvales,Byttneriaceae,Abroma,augusta,species, ,(L.) L.f.,accepted,Abroma augusta (L.) L.f.,identical,,matched,0,0,0
6,Abrus precatoruis,Fabales,Fabaceae,Abrus,precatorius,species, ,L.,accepted,Abrus precatorius L.,identical,,misspelling: Epithet,1,1,0
7,Acacia acanthophylla,Fabales,Fabaceae,Acacia,acanthophylla,species, ,(Britton & Rose) Standl.,synonym,Senegalia hayesii (Benth.) Britton & Rose,other synonym,Acacia hayesii Benth.,matched,0,0,0
8,Acacia albida,Fabales,Fabaceae,Acacia,albida,species, ,Delile,synonym,Faidherbia albida (Delile) A.Chev.,identical,,matched,0,0,0
9,Acacia angustissima,Fabales,Fabaceae,Acacia,angustissima,species, ,(Mill.) Kuntze,synonym,Senegalia angustissima (Mill.) Pedley,synonym,,matched,0,0,0
10,Acacia arabica,Fabales,Fabaceae,Acacia,arabica,species, ,(Lam.) Willd.,synonym,Vachellia nilotica (L.) P.J.H.Hurter & Mabb.,other synonym,Acacia nilotica (L.) Delile,matched,0,0,0
11,Acacia auriculiformis,Fabales,Fabaceae,Acacia,auriculiformis,species, ,A.Cunn. ex Benth.,accepted,Acacia auriculiformis A.Cunn. ex Benth.,different authors,,matched,0,0,0
12,Acacia callensis,Fabales,Fabaceae,Acacia,acatlensis,species, ,Benth.,synonym,Mariosousa acatlensis (Benth.) Seigler & Ebinger,synonym,,misspelling: Epithet,0,1,1
12,Acacia callensis,Fabales,Fabaceae,Acacia,capensis,species, ,(Burm.f.) Burchard,synonym,Vachellia karroo (Hayne) Banfi & Galasso,other synonym,unresolved,misspelling: Epithet,1,0,1
12,Acacia callensis,Fabales,Fabaceae,Acacia,capensis,species, ,Colla,synonym,Vachellia karroo (Hayne) Banfi & Galasso,unresolved,,misspelling: Epithet,1,0,1
13,Acacia catechu,Fabales,Fabaceae,Acacia,catechu,species, ,(L.f.) Brandis,synonym,Senegalia catechu (L.f.) P.J.H.Hurter & Mabb.,missing,,matched,0,0,0
13,Acacia catechu,Fabales,Fabaceae,Acacia,catechu,species, ,(L.f.) Willd.,synonym,Senegalia catechu (L.f.) P.J.H.Hurter & Mabb.,synonym,,matched,0,0,0
13,Acacia catechu,Fabales,Fabaceae,Acacia,catechu,species, ,Griseb.,synonym,Senegalia polyacantha (Willd.) Seigler & Ebinger,missing,,matched,0,0,0
14,Acacia centralis,Fabales,Fabaceae,Acacia,centralis,species, ,(Britton & Rose) Lundell,synonym,Mariosousa centralis (Britton & Rose) Seigler & Ebinger,synonym,,matched,0,0,0
15,Acacia collinsi,Fabales,Fabaceae,Acacia,collina,species, ,E.Pritz.,synonym,Acacia congesta Benth.,identical,,misspelling: Epithet,1,0,1
15,Acacia collinsi,Fabales,Fabaceae,Acacia,collinsii,species, ,Saff.,synonym,Vachellia collinsii (Saff.) Seigler & Ebinger,misspelling,Acacia collinsae Saff.,misspelling: Epithet,0,1,0
16,Acacia collinsii,Fabales,Fabaceae,Acacia,collinsii,species, ,Saff.,synonym,Vachellia collinsii (Saff.) Seigler & Ebinger,misspelling,Acacia collinsae Saff.,matched,0,0,0
17,Acacia confusa,Fabales,Fabaceae,Acacia,confusa,species, ,Merr.,accepted,Acacia confusa Merr.,identical,,matched,0,0,0
18,Acacia deamii,Fabales,Fabaceae,Acacia,deamii,species, ,(Britton & Rose) Standl.,synonym,Senegalia picachensis (Brandegee) Britton & Rose,other synonym,Acacia picachensis Brandegee,matched,0,0,0
19,Acacia dolichostachya,Fabales,Fabaceae,Acacia,dolichostachya,species, ,S.F.Blake,synonym,Mariosousa dolichostachya (S.F.Blake) Seigler & Ebinger,synonym,,matched,0,0,0
20,Acacia farnesiana,Fabales,Fabaceae,Acacia,farnesiana,species, ,(L.) Willd.,synonym,Vachellia farnesiana (L.) Wight & Arn.,synonym,,matched,0,0,0
21,Acacia glomerosa,Fabales,Fabaceae,Acacia,glomerosa,species, ,Benth.,synonym,Senegalia glomerosa (Benth.) Britton & Rose,synonym,,matched,0,0,0
22,Acacia hindsii,Fabales,Fabaceae,Acacia,hindsii,species, ,Benth.,synonym,Vachellia hindsii (Benth.) Seigler & Ebinger,synonym,,matched,0,0,0
23,Acacia hockii,Fabales,Fabaceae,Acacia,hockii,species, ,DeWild.,synonym,Vachellia hockii (DeWild.) Seigler & Ebinger,synonym,,matched,0,0,0
24,Acacia macrothyrsa,Fabales,Fabaceae,Acacia,macrothyrsa,species, ,Harms,synonym,Vachellia macrothyrsa (Harms) Kyal. & Boatwr.,other synonym,Acacia amythethophylla A.Rich.,matched,0,0,0
25,Acacia mangium,Fabales,Fabaceae,Acacia,mangium,species, ,Willd.,accepted,Acacia mangium Willd.,identical,,matched,0,0,0
26,Acacia mellifera,Fabales,Fabaceae,Acacia,mellifera,species, ,Benth.,synonym,Senegalia mellifera (Benth.) Seigler & Ebinger,synonym,,matched,0,0,0
27,Acacia nigrescens,Fabales,Fabaceae,Acacia,nigrescens,species, ,Oliv.,synonym,Senegalia nigrescens (Oliv.) P.J.H.Hurter,synonym,,matched,0,0,0
28,Acacia nilotica,Fabales,Fabaceae,Acacia,nilotica,species, ,(L.) Willd. ex Delile,synonym,Vachellia nilotica (L.) P.J.H.Hurter & Mabb.,synonym,,matched,0,0,0
29,Acacia pennatula,Fabales,Fabaceae,Acacia,pennatula,species, ,(Cham. & Schltdl.) Benth.,synonym,Vachellia pennatula (Cham. & Schltdl.) Seigler & Ebinger,synonym,,matched,0,0,0
30,Acacia polyacantha,Fabales,Fabaceae,Acacia,polyacantha,species, ,Willd.,synonym,Senegalia polyacantha (Willd.) Seigler & Ebinger,synonym,,matched,0,0,0
31,Acacia ruddiae,Fabales,Fabaceae,Acacia,ruddiae,species, ,D.H.Janzen,synonym,Vachellia ruddiae (D.H.Janzen) Seigler & Ebinger,synonym,,matched,0,0,0
32,Acacia seyal,Fabales,Fabaceae,Acacia,seyal,species, ,Delile,synonym,Vachellia seyal (Delile) P.J.H.Hurter,synonym,,matched,0,0,0
32,Acacia seyal,Fabales,Fabaceae,Acacia,seyal,species, ,Sim,synonym,Vachellia karroo (Hayne) Banfi & Galasso,missing,,matched,0,0,0
33,Acacia sieberana,Fabales,Fabaceae,Acacia,sieberana,species, ,DC.,synonym,Vachellia sieberiana (DC.) Kyal. & Boatwr.,missing,,matched,0,0,0
34,Acacia sieberiana,Fabales,Fabaceae,Acacia,sieberiana,species, ,DC.,synonym,Vachellia sieberiana (DC.) Kyal. & Boatwr.,synonym,,matched,0,0,0
34,Acacia sieberiana,Fabales,Fabaceae,Acacia,sieberiana,species, ,LeTexnier,synonym,Vachellia sieberiana (DC.) Kyal. & Boatwr.,missing,,matched,0,0,0
34,Acacia sieberiana,Fabales,Fabaceae,Acacia,sieberiana,species, ,Tausch,synonym,Acacia adunca A.Cunn. ex G.Don,missing,,matched,0,0,0
35,Acacia tortilis,Fabales,Fabaceae,Acacia,tortilis,species, ,(Forssk.) Hayne,synonym,Vachellia tortilis (Forssk.) Galasso & Banfi,synonym,,matched,0,0,0
36,Acacia welwitschii,Fabales,Fabaceae,Acacia,welwitschii,species, ,Oliv.,synonym,Senegalia welwitschii (Oliv.) Kyal. & Boatwr.,synonym,,matched,0,0,0
37,Acalypha amentacea,Malpighiales,Euphorbiaceae,Acalypha,amentacea,species, ,Roxb.,accepted,Acalypha amentacea Roxb.,identical,,matched,0,0,0
38,Acalypha caturus,Malpighiales,Euphorbiaceae,Acalypha,caturus,species, ,Blume,accepted,Acalypha caturus Blume,identical,,matched,0,0,0
39,Acalypha indica,Malpighiales,Euphorbiaceae,Acalypha,indica,species, ,L.,accepted,Acalypha indica L.,identical,,matched,0,0,0
40,Acalypha lancetillae,Malpighiales,Euphorbiaceae,Acalypha,lancetillae,species, ,Standl.,accepted,Acalypha lancetillae Standl.,identical,,matched,0,0,0
41,Acanthus illicifolius,Lamiales,Acanthaceae,Acanthus,ilicifolius,species, ,L.,accepted,Acanthus ilicifolius L.,identical,,misspelling: Epithet,1,0,0
42,Accacia mimosa,,,,,,,,,,,,Genus name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,commutatum,(C.Presl) Borbás,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,divergens,Bornm.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,gallicum,Schwer.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,hispanicum,Schwer.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,ibericum,(M.Bieb.) Schwer.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,illyricum,(J.Jacq.) Schwer.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
43,Acer monspessulanum var. hermoneum,Sapindales,Sapindaceae,Acer,monspessulanum,forma,liburnicum,Schwer.,synonym,Acer monspessulanum L.,identical,,Infrasp. name not found,0,0,0
