spec.name,spec.name.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,genus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,nameAccordingToID,created,modified,references,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Abarema clypearia f. clypearia,Abarema clypearia f. clypearia,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,13,1,1,wfo-0000185987,,Archidendron clypearia,SPECIES,wfo-4000002895,(Jack) I.C.Nielsen,Fabaceae,Archidendron,clypearia,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-32323,,TRUE,Synonym,wfo-0001058162,Abarema clypearia
Abarema scutifera,Abarema scutifera,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,2,1,wfo-0000206642,,Archidendron scutiferum,SPECIES,wfo-4000002895,(Blanco) I.C.Nielsen,Fabaceae,Archidendron,scutiferum,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-52847,,TRUE,Synonym,wfo-0000206646,Abarema scutifera
Abies religiosa,Abies religiosa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,3,1,wfo-0000511376,261625-1,Abies religiosa,SPECIES,wfo-4000000038,(Kunth) Schltdl. & Cham.,Pinaceae,Abies,religiosa,,,,Linnaea 5: 77 1830,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2610057,,FALSE,,,
Abies semenovich,Abies semenovich,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,2,4,1,wfo-0000511404,966490-1,Abies sibirica subsp. semenovii,SUBSPECIES,wfo-0000511396,(B.Fedtsch.) Farjon,Pinaceae,Abies,sibirica,semenovii,subsp.,,Pinaceae 81 1990,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2610083,,TRUE,Synonym,wfo-0000511393,Abies semenovii
Abroma augusta,Abroma augusta,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,5,1,wfo-0000511487,822006-1,Abroma augusta,SPECIES,wfo-4000000053,(L.) L.f.,Malvaceae,Abroma,augusta,,,,Suppl. Pl. 341 1782,Accepted,,,2012-03-26,2012-03-26,http://www.theplantlist.org/tpl1.1/record/kew-2610167,,FALSE,,,
Abrus precatoruis,Abrus precatoruis,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,2,6,1,wfo-0000178702,,Abrus precatorius,SPECIES,wfo-4000000060,L.,Fabaceae,Abrus,precatorius,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-2477,,FALSE,,,
Acacia acanthophylla,Acacia acanthophylla,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,7,1,wfo-0000163837,518-2,Acacia hayesii,SPECIES,wfo-4000000074,Benth.,Fabaceae,Acacia,hayesii,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-10251,,TRUE,Synonym,wfo-0000166140,Acacia acanthophylla
Acacia albida,Acacia albida,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,8,1,wfo-0000186081,,Faidherbia albida,SPECIES,wfo-4000014564,(Delile) A.Chev.,Fabaceae,Faidherbia,albida,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-32479,,TRUE,Synonym,wfo-0000188059,Acacia albida
Acacia angustissima,Acacia angustissima,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,9,1,wfo-0000182075,,Acacia angustissima,SPECIES,wfo-4000000074,(Mill.) Kuntze,Fabaceae,Acacia,angustissima,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-28172,,FALSE,,,
Acacia arabica,Acacia arabica,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,10,1,wfo-0000205536,,Acacia nilotica,SPECIES,wfo-4000000074,(L.) Delile,Fabaceae,Acacia,nilotica,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-518,,TRUE,Synonym,wfo-0000183026,Acacia arabica
Acacia auriculiformis,Acacia auriculiformis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,11,1,wfo-0000173754,,Acacia auriculiformis,SPECIES,wfo-4000000074,Benth.,Fabaceae,Acacia,auriculiformis,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-19892,,FALSE,,,
Acacia callensis,Acacia callensis,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,2,12,1,wfo-0000163796,,Acacia acatlensis,SPECIES,wfo-4000000074,Benth.,Fabaceae,Acacia,acatlensis,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-10214,,FALSE,,,
Acacia callensis,Acacia callensis,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,2,12,2,wfo-0000512490,469938-1,Acacia capensis,SPECIES,,(Burm.f.) Burch.,Fabaceae,Acacia,capensis,,,,Trav. S. Africa 1: 195 1822,Unchecked,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2611591,,FALSE,,,
Acacia callensis,Acacia callensis,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,2,12,3,wfo-0000512491,469937-1,Acacia capensis,SPECIES,wfo-4000000074,Colla,Fabaceae,Acacia,capensis,,,,Mem. Reale Accad. Sci. Torino 35: 75 1831,Unchecked,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2611592,,FALSE,,,
Acacia catechu,Acacia catechu,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,13,1,wfo-0000186808,,Acacia catechu,SPECIES,wfo-4000000074,(L.f.) Willd.,Fabaceae,Acacia,catechu,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-33296,,FALSE,,,
Acacia centralis,Acacia centralis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,14,1,wfo-0000163814,,Acacia centralis,SPECIES,wfo-4000000074,(Britton & Rose) Lundell,Fabaceae,Acacia,centralis,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-10230,,FALSE,,,
Acacia collinsi,Acacia collinsi,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,15,1,wfo-0000182077,,Acacia collinsii,SPECIES,wfo-4000000074,Saff.,Fabaceae,Acacia,collinsii,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-28174,,FALSE,,,
Acacia collinsii,Acacia collinsii,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,16,1,wfo-0000182077,,Acacia collinsii,SPECIES,wfo-4000000074,Saff.,Fabaceae,Acacia,collinsii,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-28174,,FALSE,,,
Acacia confusa,Acacia confusa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,17,1,wfo-0000186120,,Acacia confusa,SPECIES,wfo-4000000074,Merr.,Fabaceae,Acacia,confusa,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-32525,,FALSE,,,
Acacia deamii,Acacia deamii,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,18,1,wfo-0000164742,,Acacia picachensis,SPECIES,wfo-4000000074,Brandegee,Fabaceae,Acacia,picachensis,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-11167,,TRUE,Synonym,wfo-0000167075,Acacia deamii
Acacia dolichostachya,Acacia dolichostachya,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,19,1,wfo-0000163825,,Acacia dolichostachya,SPECIES,wfo-4000000074,S.F.Blake,Fabaceae,Acacia,dolichostachya,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-10240,,FALSE,,,
